type,amount,oldbalanceOrg,newbalanceOrig,isFraud
2,5926.41,81832.0,75905.59,0
1,101392.92,101392.92,0.0,1
1,3097121.75,3097121.75,0.0,1
2,18043.82,0.0,0.0,0
1,846589.73,846589.73,0.0,1
1,67177.09,0.0,0.0,0
3,12108.83,52138.0,64246.83,0
1,71323.49,71323.49,0.0,1
2,9222.38,0.0,0.0,0
3,241820.8,1585.0,243405.8,0
4,1752606.15,1752606.15,0.0,1
3,105297.31,6004863.57,6110160.88,0
4,811459.21,811459.21,0.0,1
3,216171.03,72002.0,288173.03,0
1,497928.97,497928.97,0.0,1
4,1131750.38,1131750.38,0.0,1
1,10000000.0,10000000.0,0.0,1
2,6352.57,293.0,0.0,0
4,1058602.68,1058602.68,0.0,1
4,292815.44,292815.44,0.0,1
1,126068.33,104449.0,0.0,0
1,116259.74,0.0,0.0,0
2,3511.9,0.0,0.0,0
1,1760546.42,1760546.42,0.0,1
1,535654.59,535654.59,0.0,1
2,16406.57,0.0,0.0,0
2,43046.96,0.0,0.0,0
1,1054244.29,1054244.29,0.0,1
4,921668.95,921668.95,0.0,1
1,10211.81,10211.81,0.0,1
1,10000000.0,10000000.0,0.0,1
2,13790.05,0.0,0.0,0
2,8023.75,0.0,0.0,0
4,80336.26,80336.26,0.0,1
4,5274773.52,5274773.52,0.0,1
1,76820.98,0.0,0.0,0
1,360782.2,41286.0,0.0,0
4,36267.62,36267.62,0.0,1
4,3774777.76,3774777.76,0.0,1
4,32076.17,32076.17,0.0,1
1,365196.26,48948.51,0.0,0
4,2859010.61,2859010.61,0.0,1
1,73070.32,697163.25,624092.94,0
2,7351.75,29924.7,22572.95,0
1,1390048.67,1390048.67,0.0,1
1,227705.31,10860.0,0.0,0
1,27667.36,116.0,0.0,0
2,28901.68,8658.0,0.0,0
1,87541.41,87541.41,0.0,1
4,78357.77,78357.77,0.0,1
1,2758096.0,2758096.0,0.0,1
2,1870.47,0.0,0.0,0
4,433348.97,433348.97,0.0,1
2,5989.71,2110119.57,2104129.87,0
4,1165222.55,0.0,0.0,0
4,325242.69,325242.69,0.0,1
4,2178672.84,0.0,0.0,0
1,171444.48,22407.0,0.0,0
3,220778.96,33536.0,254314.96,0
4,10000000.0,35674547.89,25674547.89,1
1,151408.4,0.0,0.0,0
1,667257.72,667257.72,0.0,1
1,2163012.63,2163012.63,0.0,1
4,9977761.05,9977761.05,0.0,1
1,35451.79,58881.0,23429.21,0
4,201281.36,201281.36,0.0,1
1,37937.42,222.0,0.0,0
4,464847.2,291385.0,0.0,0
1,131597.73,131597.73,0.0,1
1,136562.78,136562.78,0.0,1
1,36300.25,36300.25,0.0,1
1,834203.65,834203.65,0.0,1
3,183381.38,3115036.33,3298417.71,0
4,108710.79,136901.0,28190.21,0
3,66042.94,8045.0,74087.94,0
4,209829.57,209829.57,0.0,1
1,3399575.93,3399575.93,0.0,1
1,201220.19,51169.0,0.0,0
4,8020192.15,8020192.15,0.0,1
3,103155.56,1316743.94,1419899.5,0
2,7902.62,0.0,0.0,0
4,157610.11,157610.11,0.0,1
1,74549.12,52150.0,0.0,0
1,462848.05,0.0,0.0,0
1,337911.97,700255.0,362343.03,0
2,13549.13,4951.0,0.0,0
2,8718.53,38966.0,30247.47,0
1,42253.38,0.0,0.0,0
4,79581.24,79581.24,0.0,1
2,19463.44,595474.77,576011.33,0
1,496128.26,496128.26,0.0,1
3,63061.3,6595859.2,6658920.5,0
4,2898.09,2898.09,0.0,1
4,436317.49,436317.49,0.0,1
1,267261.92,0.0,0.0,0
2,2144.41,20321.0,18176.59,0
2,16400.19,33007.0,16606.81,0
1,451399.66,451399.66,0.0,1
4,816538.69,21474.0,0.0,0
1,350789.59,350789.59,0.0,1
1,1309940.05,1309940.05,0.0,1
2,1029.18,51926.0,50896.82,0
1,345389.58,0.0,0.0,0
1,387200.32,50205.0,0.0,0
2,7526.86,504375.26,496848.39,0
1,651477.38,651477.38,0.0,1
4,3246726.12,0.0,0.0,0
2,5278.78,0.0,0.0,0
1,1764389.11,1764389.11,0.0,1
1,130998.55,25840.0,0.0,0
4,766631.82,766631.82,0.0,1
4,169894.34,20060.0,0.0,0
3,4374.02,7900960.72,7905334.74,0
1,2100.0,2100.0,0.0,1
4,10000000.0,10497526.17,497526.17,1
4,2153055.36,2153055.36,0.0,1
3,55847.54,6078375.69,6134223.23,0
3,107402.48,1607221.02,1714623.5,0
2,570.8,24014.18,23443.38,0
1,122090.79,122090.79,0.0,1
4,130777.09,130777.09,0.0,1
2,4704.81,107445.0,102740.19,0
3,242011.42,9066.0,251077.42,0
1,311453.46,0.0,0.0,0
3,114730.65,3167380.97,3282111.62,0
3,78664.12,278853.71,357517.82,0
2,9599.03,0.0,0.0,0
2,11853.28,0.0,0.0,0
4,590871.44,0.0,0.0,0
4,70669.49,70669.49,0.0,1
4,27696.89,27696.89,0.0,1
2,7815.19,51181.0,43365.81,0
4,120406.39,120406.39,0.0,1
2,13786.47,0.0,0.0,0
3,79657.94,2674.0,82331.94,0
2,4062.67,49833.0,45770.33,0
2,19494.49,0.0,0.0,0
2,35473.89,33479.0,0.0,0
4,152314.49,152314.49,0.0,1
2,10208.21,0.0,0.0,0
3,68120.44,40667.0,108787.44,0
3,315748.95,0.0,315748.95,0
2,5947.96,0.0,0.0,0
1,936976.86,936976.86,0.0,1
1,972713.05,972713.05,0.0,1
2,52169.39,203643.65,151474.26,0
4,23610.85,23610.85,0.0,1
1,71867.47,71867.47,0.0,1
2,12834.46,0.0,0.0,0
2,19674.19,0.0,0.0,0
2,19922.42,1144.0,0.0,0
2,12751.41,159053.0,146301.59,0
1,426323.38,426323.38,0.0,1
1,443893.69,443893.69,0.0,1
4,592737.43,592737.43,0.0,1
2,1702.99,0.0,0.0,0
1,37065.55,37065.55,0.0,1
4,89846.18,89846.18,0.0,1
4,30521.02,30521.02,0.0,1
1,5166393.44,5166393.44,0.0,1
1,166637.54,39982.0,0.0,0
1,274125.77,274125.77,0.0,1
1,126690.14,126690.14,0.0,1
3,53981.35,3858498.61,3912479.95,0
1,298653.36,0.0,0.0,0
1,2684142.41,2684142.41,0.0,1
4,343014.4,0.0,0.0,0
4,1583.28,1583.28,0.0,1
1,48412.47,48412.47,0.0,1
1,293047.84,363.0,0.0,0
2,3.65,19400.0,19396.35,0
1,330665.02,330665.02,0.0,1
3,66818.23,5609063.16,5675881.39,0
1,69543.83,0.0,0.0,0
2,12986.21,52467.0,39480.79,0
1,358900.54,0.0,0.0,0
4,82527.13,82527.13,0.0,1
1,84542.29,0.0,0.0,0
2,24158.11,5271.0,0.0,0
2,8204.82,0.0,0.0,0
1,64788.72,0.0,0.0,0
1,662276.78,662276.78,0.0,1
4,36847.9,36847.9,0.0,1
4,2806.0,2806.0,0.0,1
2,19545.87,24716.0,5170.13,0
1,1027963.96,1027963.96,0.0,1
4,140807.76,140807.76,0.0,1
1,143784.37,12462.0,0.0,0
3,87044.68,24391813.52,24478858.2,0
4,475368.94,475368.94,0.0,1
1,88519.02,1117.0,0.0,0
2,8189.55,51561.0,43371.45,0
1,282992.27,0.0,0.0,0
4,2315782.83,24085.0,0.0,0
1,1989311.31,1989311.31,0.0,1
1,48132.52,48132.52,0.0,1
3,511184.52,9116.0,520300.52,0
4,216000.95,216000.95,0.0,1
4,1457085.28,1457085.28,0.0,1
1,213086.68,4503.0,0.0,0
1,14016.65,14016.65,0.0,1
3,65903.4,110422.0,176325.4,0
1,15034.9,0.0,0.0,0
4,9039246.82,9039246.82,0.0,1
4,1290224.84,1290224.84,0.0,1
1,122586.2,0.0,0.0,0
1,160186.79,160186.79,0.0,1
1,301349.86,0.0,0.0,0
4,113360.8,113360.8,0.0,1
1,126963.22,246392.0,119428.78,0
2,36512.01,70824.35,34312.34,0
3,17876.28,18458.2,36334.48,0
4,139210.23,139210.23,0.0,1
1,614145.31,614145.31,0.0,1
2,4964.29,0.0,0.0,0
3,260840.91,4475286.76,4736127.68,0
2,18404.74,0.0,0.0,0
1,185529.91,185529.91,0.0,1
1,72901.03,72901.03,0.0,1
4,16734.61,16734.61,0.0,1
2,12723.36,0.0,0.0,0
2,206.7,1563.0,1356.3,0
1,27759.73,27759.73,0.0,1
3,80269.23,3540893.77,3621163.0,0
4,230806.85,230806.85,0.0,1
3,56347.76,4923355.41,4979703.17,0
4,1980800.05,1980800.05,0.0,1
1,19472.0,19472.0,0.0,1
4,1649039.58,1649039.58,0.0,1
1,305817.12,305817.12,0.0,1
1,191151.04,52290.0,0.0,0
1,125706.51,0.0,0.0,0
2,4636.43,886.0,0.0,0
1,6249265.86,6249265.86,0.0,1
1,110054.58,0.0,0.0,0
2,3005.59,10743.0,7737.41,0
1,105111.86,10897.0,0.0,0
3,80574.94,2762293.7,2842868.65,0
1,5239429.19,5239429.19,0.0,1
4,118499.44,118499.44,0.0,1
2,5543.53,28186.0,22642.47,0
1,47939.04,0.0,0.0,0
2,5501.89,21571.0,16069.11,0
4,152331.26,152331.26,0.0,1
4,5131896.17,5131896.17,0.0,1
4,4676.42,4676.42,0.0,1
1,348089.74,0.0,0.0,0
3,212136.87,8827723.89,9039860.76,0
2,2455.31,42354.0,39898.69,0
2,2793.14,268508.0,265714.86,0
1,8639.93,8639.93,0.0,1
4,897427.17,897427.17,0.0,1
3,124816.82,7045737.3,7170554.12,0
1,731113.99,731113.99,0.0,1
1,152331.26,152331.26,0.0,1
4,85408.24,85408.24,0.0,1
4,11424.36,11424.36,0.0,1
4,182927.08,182927.08,0.0,1
3,20214.31,5939587.6,5959801.92,0
4,1150717.15,1150717.15,0.0,1
1,655676.97,655676.97,0.0,1
3,153521.72,17579.0,171100.72,0
1,18028.13,18028.13,0.0,1
2,1112.5,0.0,0.0,0
1,143783.6,0.0,0.0,0
1,6063657.03,6063657.03,0.0,1
1,531937.86,0.0,0.0,0
1,1974352.3,1974352.3,0.0,1
4,29611.08,29611.08,0.0,1
2,6403.24,177085.39,170682.14,0
2,97702.45,27618.0,0.0,0
4,2479767.72,2479767.72,0.0,1
1,10000000.0,10000000.0,0.0,1
1,24412.07,24412.07,0.0,1
1,327791.14,327791.14,0.0,1
1,182187.18,12596.0,0.0,0
4,99445.61,0.0,0.0,0
1,370073.32,0.0,0.0,0
4,3924102.18,3924102.18,0.0,1
4,27759.73,27759.73,0.0,1
1,27968.67,0.0,0.0,0
1,141573.21,123744.0,0.0,0
1,34099.1,34099.1,0.0,1
2,16408.36,0.0,0.0,0
1,784476.21,0.0,0.0,0
4,1005346.72,1005346.72,0.0,1
4,1336756.8,0.0,0.0,0
1,343177.04,343177.04,0.0,1
1,634471.19,0.0,0.0,0
4,537539.97,537539.97,0.0,1
2,22369.86,0.0,0.0,0
1,157691.2,0.0,0.0,0
4,266746.42,266746.42,0.0,1
1,448266.86,448266.86,0.0,1
1,159724.42,159724.42,0.0,1
4,2060748.45,2060748.45,0.0,1
1,21987.0,21987.0,0.0,1
4,36942.13,36942.13,0.0,1
1,59730.05,21546.0,0.0,0
4,237366.32,0.0,0.0,0
3,145321.08,5202347.21,5347668.29,0
1,33701.41,10099.0,0.0,0
2,30371.26,204955.0,174583.74,0
1,7304.56,7304.56,0.0,1
2,14223.53,88995.03,74771.5,0
4,61178.51,61178.51,0.0,1
2,15639.15,0.0,0.0,0
2,402.49,205273.0,204870.51,0
4,503961.93,503961.93,0.0,1
3,87823.33,11207.0,99030.33,0
2,13915.52,0.0,0.0,0
2,17646.53,0.0,0.0,0
4,4738282.28,4738282.28,0.0,1
1,124461.2,0.0,0.0,0
3,94428.19,50223.0,144651.19,0
1,393336.33,96754.98,0.0,0
4,476321.8,476321.8,0.0,1
4,2897907.81,2897907.81,0.0,1
3,54402.41,0.0,54402.41,0
4,307455.42,307455.42,0.0,1
1,84174.31,84174.31,0.0,1
1,381342.69,0.0,0.0,0
2,34213.9,0.0,0.0,0
2,12253.64,8400.0,0.0,0
4,322329.78,322329.78,0.0,1
1,2149976.69,2149976.69,0.0,1
4,1498296.47,1498296.47,0.0,1
4,6648389.9,6648389.9,0.0,1
4,1302173.35,16078.0,0.0,0
1,151182.28,0.0,0.0,0
1,90383.88,0.0,0.0,0
1,170.0,170.0,0.0,1
1,434006.52,434006.52,0.0,1
1,21846.53,0.0,0.0,0
3,232894.32,122782.0,355676.32,0
1,68908.42,537.0,0.0,0
1,3964129.99,3964129.99,0.0,1
1,1494432.21,1494432.21,0.0,1
4,325668.67,325668.67,0.0,1
2,22579.96,474413.13,451833.17,0
4,1103824.04,0.0,0.0,0
1,381951.72,17228.0,0.0,0
3,161381.5,195.0,161576.5,0
3,379902.85,377.0,380279.85,0
2,832.89,468.57,0.0,0
2,11150.6,20168.0,9017.4,0
1,8327328.27,8327328.27,0.0,1
1,113090.42,34785.0,0.0,0
1,19646.09,19646.09,0.0,1
1,4309298.47,4309298.47,0.0,1
1,155121.58,155121.58,0.0,1
1,6391.6,6391.6,0.0,1
1,5903457.39,5903457.39,0.0,1
1,94164.05,25464.0,0.0,0
2,24506.27,51212.94,26706.67,0
4,10000000.0,12140888.35,2140888.35,1
1,6417789.09,6417789.09,0.0,1
4,168033.36,168033.36,0.0,1
1,1138384.29,1138384.29,0.0,1
1,252144.37,0.0,0.0,0
4,1504870.33,1504870.33,0.0,1
1,120582.86,120582.86,0.0,1
3,54459.47,279117.0,333576.47,0
3,260783.87,5219906.71,5480690.58,0
4,466580.69,466580.69,0.0,1
1,108244.36,0.0,0.0,0
2,25254.05,0.0,0.0,0
2,37538.03,5044.5,0.0,0
2,6298.96,0.0,0.0,0
1,127124.36,0.0,0.0,0
4,9811104.49,9811104.49,0.0,1
4,407347.84,407347.84,0.0,1
4,489434.58,29837.0,0.0,0
1,475693.24,475693.24,0.0,1
2,230.3,790429.14,790198.84,0
1,365332.78,365332.78,0.0,1
4,1396824.94,1396824.94,0.0,1
1,2216703.82,2216703.82,0.0,1
3,34904.43,6998054.66,7032959.09,0
2,10237.97,0.0,0.0,0
1,410755.5,13297.0,0.0,0
4,7009.93,7009.93,0.0,1
1,178203.87,0.0,0.0,0
4,222694.08,222694.08,0.0,1
1,269476.09,269476.09,0.0,1
1,8677.0,8677.0,0.0,1
4,46072.33,46072.33,0.0,1
4,40388.58,40388.58,0.0,1
1,202829.54,8461.0,0.0,0
3,568765.93,60721.0,629486.93,0
1,480493.32,1575.0,0.0,0
1,106663.41,0.0,0.0,0
4,65091.34,65091.34,0.0,1
2,14100.29,61639.0,47538.71,0
1,592615.53,592615.53,0.0,1
1,122816.67,122816.67,0.0,1
2,40261.92,1487.0,0.0,0
1,377919.58,377919.58,0.0,1
1,627586.04,627586.04,0.0,1
1,78493.64,0.0,0.0,0
1,27034.63,55999.0,28964.37,0
4,102750.55,102750.55,0.0,1
1,2085019.56,2085019.56,0.0,1
1,201460.75,9987.0,0.0,0
2,23911.41,110065.88,86154.47,0
2,6641.8,0.0,0.0,0
3,197597.59,2112965.59,2310563.18,0
1,9811104.49,9811104.49,0.0,1
2,4160.04,0.0,0.0,0
1,1207.92,60465.0,59257.08,0
1,7807640.17,7807640.17,0.0,1
4,242896.12,242896.12,0.0,1
4,537733.05,0.0,0.0,0
3,49216.95,1566387.68,1615604.63,0
4,2284476.12,2284476.12,0.0,1
2,23839.94,0.0,0.0,0
4,654250.76,654250.76,0.0,1
3,210958.6,959476.68,1170435.28,0
3,159396.33,6144174.26,6303570.59,0
4,362631.05,362631.05,0.0,1
1,192168.58,0.0,0.0,0
1,206405.11,14637.0,0.0,0
2,4333.88,21527.0,17193.12,0
3,50950.61,140964.18,191914.78,0
4,2828068.73,2828068.73,0.0,1
1,3354200.39,3354200.39,0.0,1
1,470325.08,470325.08,0.0,1
2,285.16,48656.21,48371.05,0
4,916644.03,916644.03,0.0,1
1,325242.69,325242.69,0.0,1
3,423407.25,89305.0,512712.25,0
1,55861.49,22155.0,0.0,0
2,375.38,242.0,0.0,0
4,58737.53,58737.53,0.0,1
1,66483.77,0.0,0.0,0
4,82665.47,82665.47,0.0,1
1,6087.58,6087.58,0.0,1
4,470325.08,470325.08,0.0,1
1,306928.01,23866.0,0.0,0
1,49950.63,49950.63,0.0,1
3,85621.77,2702134.56,2787756.33,0
1,36371.77,36371.77,0.0,1
1,111859.59,0.0,0.0,0
1,306675.37,306675.37,0.0,1
2,8757.02,35336.0,26578.98,0
1,84472.41,21110.0,0.0,0
1,378204.02,378204.02,0.0,1
4,763170.76,763170.76,0.0,1
1,2231.46,2231.46,0.0,1
4,1467987.57,1467987.57,0.0,1
1,40035.25,0.0,0.0,0
4,2479940.21,2479940.21,0.0,1
4,498747.55,498747.55,0.0,1
4,335094.53,335094.53,0.0,1
1,174885.47,31440.0,0.0,0
1,766151.45,766151.45,0.0,1
1,3085336.66,3085336.66,0.0,1
1,10565.0,10565.0,0.0,1
3,45000.17,72186.0,117186.17,0
1,3707342.38,3707342.38,0.0,1
1,10000000.0,10000000.0,0.0,1
3,78545.37,21200.0,99745.37,0
1,159868.67,0.0,0.0,0
5,4263.92,150445.0,146181.08,0
1,253793.28,253793.28,0.0,1
1,1137603.28,1137603.28,0.0,1
4,57588.67,57588.67,0.0,1
1,191834.14,191834.14,0.0,1
1,491357.92,104286.0,0.0,0
3,115957.37,164904.0,280861.37,0
1,118462.93,118462.93,0.0,1
2,6602.67,50394.0,43791.33,0
4,385306.7,0.0,0.0,0
1,3794763.63,3794763.63,0.0,1
1,5807351.83,5807351.83,0.0,1
4,3309631.1,3309631.1,0.0,1
4,2246118.53,2246118.53,0.0,1
1,582571.87,582571.87,0.0,1
2,10608.39,0.0,0.0,0
1,422648.87,422648.87,0.0,1
4,21574.55,21574.55,0.0,1
3,24917.19,711186.91,736104.11,0
4,96286.54,96286.54,0.0,1
4,2930418.44,2930418.44,0.0,1
4,624686.04,624686.04,0.0,1
1,4623764.68,4623764.68,0.0,1
1,163263.23,0.0,0.0,0
2,3179.99,25684.0,22504.01,0
4,93569.53,0.0,0.0,0
4,21279.19,21279.19,0.0,1
3,105366.33,52023.0,157389.33,0
4,70756.72,70756.72,0.0,1
3,382211.8,7236954.62,7619166.42,0
1,46872.94,368070.31,321197.37,0
4,2491.85,2491.85,0.0,1
4,116798.38,116798.38,0.0,1
3,204636.84,54896.0,259532.84,0
4,6417789.09,6417789.09,0.0,1
4,101081.12,101081.12,0.0,1
1,155002.83,155002.83,0.0,1
1,44571.94,44571.94,0.0,1
1,47721.95,47721.95,0.0,1
1,174738.23,71906.0,0.0,0
3,165559.63,8254191.93,8419751.55,0
1,144042.77,0.0,0.0,0
1,114017.19,114017.19,0.0,1
1,160606.28,16124.0,0.0,0
2,8465.43,0.0,0.0,0
2,5078.53,0.0,0.0,0
1,219899.13,35547.0,0.0,0
1,9110884.44,9110884.44,0.0,1
4,588586.08,87892.0,0.0,0
4,343634.12,0.0,0.0,0
1,225450.83,91721.0,0.0,0
2,21623.1,21211.0,0.0,0
4,824841.09,824841.09,0.0,1
4,245970.86,245970.86,0.0,1
4,7476725.66,7476725.66,0.0,1
4,95105.01,95105.01,0.0,1
1,290211.26,290211.26,0.0,1
4,450458.78,450458.78,0.0,1
4,1142705.84,0.0,0.0,0
3,135925.57,4620140.42,4756066.0,0
4,1891921.94,1891921.94,0.0,1
4,182444.26,11211.0,0.0,0
3,346727.71,1238257.69,1584985.4,0
2,4408.27,496935.64,492527.38,0
2,23380.81,59932.42,36551.61,0
4,1595587.46,1595587.46,0.0,1
4,3354200.39,3354200.39,0.0,1
1,1543975.74,1543975.74,0.0,1
1,211055.36,0.0,0.0,0
5,4122.31,20666.0,16543.69,0
1,107588.31,0.0,0.0,0
4,45053.05,45053.05,0.0,1
2,18372.66,831255.72,812883.07,0
4,22990.73,22990.73,0.0,1
4,18887.22,18887.22,0.0,1
1,8267760.5,8267760.5,0.0,1
4,1055.0,1055.0,0.0,1
3,227419.92,3532164.36,3759584.28,0
3,86101.57,2070.0,88171.57,0
4,26364429.48,0.0,0.0,0
1,20393.12,20393.12,0.0,1
1,183960.55,0.0,0.0,0
3,11781.26,15215.0,26996.26,0
1,1457343.37,1457343.37,0.0,1
1,59823.08,5179.0,0.0,0
1,2406332.79,2406332.79,0.0,1
2,17422.77,26462.0,9039.23,0
4,248043.99,248043.99,0.0,1
4,1380940.73,1380940.73,0.0,1
1,704328.29,704328.29,0.0,1
2,5149.38,4434.0,0.0,0
1,81664.23,67459.51,0.0,0
1,35980.5,469.0,0.0,0
1,2271674.66,2271674.66,0.0,1
2,3974.24,0.0,0.0,0
1,541486.74,541486.74,0.0,1
1,73328.47,73328.47,0.0,1
2,7456.2,9177.0,1720.8,0
2,50976.2,21298.0,0.0,0
1,664992.86,664992.86,0.0,1
1,291904.27,0.0,0.0,0
1,30399.76,0.0,0.0,0
1,393370.15,0.0,0.0,0
1,1860190.06,1860190.06,0.0,1
4,7584535.68,199336.0,0.0,0
4,223730.4,223730.4,0.0,1
1,1397162.15,1397162.15,0.0,1
1,59628.24,59628.24,0.0,1
4,1312694.5,1312694.5,0.0,1
4,1451083.08,1451083.08,0.0,1
2,99.27,0.0,0.0,0
1,188507.62,188194.0,0.0,0
1,215.83,215.83,0.0,1
1,371824.92,0.0,0.0,0
4,103056.0,103056.0,0.0,1
1,6545346.16,6545346.16,0.0,1
1,268230.43,268230.43,0.0,1
4,32382.31,32382.31,0.0,1
1,22397.1,0.0,0.0,0
1,1669143.57,1669143.57,0.0,1
1,55105.2,0.0,0.0,0
4,379074.05,0.0,0.0,0
2,13591.05,8038.0,0.0,0
4,10000000.0,10390763.24,390763.24,1
4,81867.07,81867.07,0.0,1
4,167963.64,167963.64,0.0,1
1,187761.76,187761.76,0.0,1
4,535319.14,10112.63,0.0,0
4,1158396.74,1158396.74,0.0,1
2,32654.78,0.0,0.0,0
3,473488.22,675604.02,1149092.23,0
1,260408.9,260408.9,0.0,1
3,61909.8,4111729.99,4173639.79,0
1,38427.47,38427.47,0.0,1
2,6615.26,226464.0,219848.74,0
1,83429.62,49229.0,0.0,0
1,7563536.91,7563536.91,0.0,1
4,26950.06,26950.06,0.0,1
1,353045.35,353045.35,0.0,1
1,563388.67,563388.67,0.0,1
2,7459.39,5643.0,0.0,0
4,1521663.8,0.0,0.0,0
4,353090.95,353090.95,0.0,1
1,8770.06,8770.06,0.0,1
1,288709.34,0.0,0.0,0
2,5553.66,12401.0,6847.34,0
2,10739.77,0.0,0.0,0
1,285728.49,12567.0,0.0,0
2,6638.41,24365.68,17727.27,0
1,219275.48,256626.0,37350.52,0
4,1455382.05,1455382.05,0.0,1
4,20281.44,20281.44,0.0,1
2,987.15,102946.0,101958.85,0
3,63939.69,6762499.29,6826438.98,0
2,8068.53,0.0,0.0,0
2,4740.6,0.0,0.0,0
1,42513.08,42513.08,0.0,1
4,125146.75,125146.75,0.0,1
1,586801.3,586801.3,0.0,1
4,3845765.36,3845765.36,0.0,1
1,581889.94,581889.94,0.0,1
1,180467.63,0.0,0.0,0
1,79717.14,79717.14,0.0,1
1,658621.59,336484.2,0.0,0
4,2068118.36,2068118.36,0.0,1
2,5961.11,0.0,0.0,0
4,37669.14,37669.14,0.0,1
1,177925.98,177925.98,0.0,1
2,3358.08,85897.0,82538.92,0
4,64202.85,64202.85,0.0,1
2,229.19,14566.0,14336.81,0
2,11890.14,118311.79,106421.65,0
4,9593838.63,9593838.63,0.0,1
4,335496.41,0.0,0.0,0
2,7762.66,0.0,0.0,0
4,587031.2,587031.2,0.0,1
4,7927.06,7927.06,0.0,1
2,805.98,0.0,0.0,0
3,199146.03,1091.0,200237.03,0
2,9621.44,0.0,0.0,0
2,15791.17,51384.0,35592.83,0
2,10470.4,160168.04,149697.64,0
1,16429.44,0.0,0.0,0
1,25257.58,0.0,0.0,0
1,90770.99,49575.0,0.0,0
2,3606.99,0.0,0.0,0
1,9265.43,9265.43,0.0,1
1,764646.4,764646.4,0.0,1
4,3028421.03,3028421.03,0.0,1
4,634911.47,634911.47,0.0,1
4,291264.2,291264.2,0.0,1
1,157139.47,20168.0,0.0,0
1,116940.32,116940.32,0.0,1
1,89571.46,4505.6,0.0,1
2,3205.54,0.0,0.0,0
2,4084.73,13991.71,9906.98,0
1,292268.51,0.0,0.0,0
1,3105902.49,3105902.49,0.0,1
1,322585.04,322585.04,0.0,1
1,2859010.61,2859010.61,0.0,1
1,230806.85,230806.85,0.0,1
1,6972164.97,6972164.97,0.0,1
2,626.49,14651.0,14024.51,0
3,151578.04,631125.91,782703.94,0
1,18982.32,18982.32,0.0,1
4,87622.5,87622.5,0.0,1
1,182638.94,11523.0,0.0,0
3,238942.83,90397.78,329340.6,0
4,2571605.04,2571605.04,0.0,1
1,123960.99,0.0,0.0,0
1,128410.76,0.0,0.0,0
3,436035.65,5549.0,441584.65,0
4,5912204.0,5912204.0,0.0,1
4,1822772.73,1822772.73,0.0,1
1,188373.18,128661.0,0.0,0
1,138526.76,35454.0,0.0,0
3,316799.46,297971.24,614770.7,0
2,754.14,6076.0,5321.86,0
1,79844.38,0.0,0.0,0
3,38741.57,1002.0,39743.57,0
2,40325.39,451.0,0.0,0
1,3139423.35,3139423.35,0.0,1
4,466218.08,466218.08,0.0,1
2,9054.83,0.0,0.0,0
3,183999.79,10642614.53,10826614.31,0
1,457789.14,457789.14,0.0,1
4,162326.52,162326.52,0.0,1
1,17965.93,31473.0,13507.07,0
1,148853.07,0.0,0.0,0
4,10000000.0,25674547.89,15674547.89,1
1,229578.41,14797.0,0.0,0
4,256705.68,256705.68,0.0,1
1,149969.34,0.0,0.0,0
3,117458.23,5953397.47,6070855.7,0
3,97704.11,3099214.58,3196918.7,0
2,10531.32,717.0,0.0,0
1,575203.48,3738.73,0.0,0
4,509985.31,509985.31,0.0,1
1,61178.51,61178.51,0.0,1
